Spec,Spec level,Matrix time,Search time,Total time
1d-conv,1,0.015500086,0.007390244,0.02289033
1d-conv,2,0.013668244,0.007256322,0.020924566
1d-conv,3,0.012970909,0.008757687,0.021728596
1d-stencil,1,0.013392685,0.003297534,0.016690219
1d-stencil,2,0.013496876,0.003939216,0.017436092
1d-stencil,3,0.013006417,0.00445919,0.017465607
2d-stencil-3,1,0.013989786,0.003113432,0.017103218
2d-stencil-3,2,0.013952279,0.003419437,0.017371716
2d-stencil-3,3,0.0182343,0.003327782,0.021562082
mult-32-with-4,1,0.000472612,0.003367222,0.003839834
mult-32-with-4,2,0.00017458,0.003244527,0.003419107
mult-32-with-4,3,0.00016151,0.003450212,0.003611722
trove-crc-1,1,0.004392751,0.000154896,0.004547647
trove-crc-1,3,0.00438575,0.000162093,0.004547843
trove-crc-2,1,0.049589485,0.006084445,0.05567393
trove-crc-2,3,0.046258621,0.00693659,0.053195211
trove-crc-3,1,0.20857668,0.011884554,0.220461234
trove-crc-3,3,0.197959465,0.015212212,0.213171677
trove-crc-4,1,0.629554213,0.041137029,0.670691242
trove-crc-4,3,0.535603088,0.072296276,0.607899364
trove-crc-5,1,1.25330666,0.032875733,1.286182393
trove-crc-5,3,1.244096484,0.038333145,1.282429629
trove-cr_sum-1,1,0.001827531,0.000258557,0.002086088
trove-cr_sum-1,3,0.00251451,0.000600331,0.003114841
trove-cr_sum-2,1,0.0067008,0.009132861,0.015833661
trove-cr_sum-2,3,0.006748129,0.00971482,0.016462949
trove-cr_sum-3,1,0.01341847,0.010347639,0.023766109
trove-cr_sum-3,3,0.013048268,0.014700066,0.027748334
trove-cr_sum-4,1,0.021519465,0.114899432,0.136418897
trove-cr_sum-4,3,0.019134849,0.190417886,0.209552735
trove-cr_sum-5,1,0.030136486,0.016208956,0.046345442
trove-cr_sum-5,3,0.032596679,0.021962949,0.054559628
trove-cr_sum-7,1,0.062234312,0.037688564,0.099922876
trove-rcr-1,1,0.004071754,0.005629716,0.00970147
trove-rcr-1,3,0.003426259,0.013357842,0.016784101
trove-rcr-2,1,0.033888433,0.121363509,0.155251942
trove-rcr-2,3,0.033693567,1.2419917329999999,1.2756853
trove-rcr-3,1,0.165174304,0.045842957,0.211017261
trove-rcr-3,3,0.156568906,0.087395944,0.24396485
trove-rcr-4,1,0.5087013,0.270380668,0.779081968
trove-rcr-4,3,0.500529117,3.045204793,3.54573391
trove-rcr-5,1,1.223105763,0.159150475,1.382256238
trove-rcr-5,3,1.246259163,0.251404737,1.4976639
1d-wconv-32x3-no-accum-cond,0,0.023961327,0.620716934,0.644678261
