Spec,Spec level,Matrix time,Search time,Total time
1d-conv,1,2.854214969,0.010160871,2.86437584
1d-conv,2,1.751791913,0.022140548,1.773932461
1d-conv,3,3.15676132,0.02921091,3.18597223
1d-stencil,1,0.011831987,0.003792194,0.015624181
1d-stencil,2,0.013174964,0.008140308,0.021315272
1d-stencil,3,0.013433331,0.010778761,0.024212092
2d-stencil-3,1,7.58010884,0.003526143,7.583634983
2d-stencil-3,2,0.83802776,0.01301746,0.85104522
2d-stencil-3,3,7.239865292,0.011665564,7.251530856
mult-32-with-4,1,0.027161463,0.003663067,0.03082453
mult-32-with-4,2,0.012748301,0.003844787,0.016593088
mult-32-with-4,3,0.003968922,0.004066997,0.008035919
trove-crc-1,1,0.058232531,0.000263022,0.058495553
trove-crc-1,3,0.058840761,0.000305988,0.059146749
trove-crc-2,1,2.149662619,0.008439217,2.158101836
trove-crc-2,3,2.248512841,0.011676992,2.260189833
trove-crc-3,1,21.752063235,0.016986181,21.769049416
trove-crc-3,3,21.741708901,0.022058077,21.763766978
trove-crc-4,1,141.44781298,0.060153517,141.507966497
trove-crc-4,3,133.355773446,0.106511816,133.462285262
trove-cr_sum-1,1,518.401059642,0.000341501,518.401401143
trove-cr_sum-1,3,0.030144952,0.000498627,0.030643579
trove-cr_sum-2,1,0.366769524,0.011383519,0.378153043
trove-cr_sum-2,3,0.369711344,0.014739759,0.384451103
trove-cr_sum-3,1,1.77858454,0.017834412,1.796418952
trove-cr_sum-3,3,1.881497536,0.022920825,1.904418361
trove-cr_sum-4,1,5.034367156,0.193385177,5.227752333
trove-cr_sum-4,3,5.089049866,0.337144481,5.426194347
trove-cr_sum-5,1,11.991849541,0.026614493,12.018464034
trove-cr_sum-5,3,12.193650163,0.038635844,12.232286007
trove-rcr-1,1,48.769243275,0.00498517,48.774228445
trove-rcr-1,3,0.045386283,0.010498061,0.055884344
trove-rcr-2,1,2.052896546,0.170153543,2.223050089
trove-rcr-2,3,1.922446261,1.8336899949999999,3.756136256
trove-rcr-3,1,23.164950332,0.062929783,23.227880115
trove-rcr-3,3,23.355539151,0.146661085,23.502200236
trove-rcr-4,1,124.134668041,0.404107125,124.538775166
trove-rcr-4,3,126.003471948,4.664410809,130.667882757
