Spec,Spec level,Matrix time,Search time,Total time
1d-conv,1,0.011923818,0.00932474,0.021248558
1d-conv,2,0.011732358,0.014743737,0.026476095
1d-conv,3,0.012055556,0.022585825,0.034641381
1d-stencil,1,0.013478443,0.003893606,0.017372049
1d-stencil,2,0.017580771,0.013490557,0.031071328
1d-stencil,3,0.012385263,0.010911795,0.023297058
2d-stencil-3,1,0.018577762,0.007886198,0.02646396
2d-stencil-3,2,0.013244709,0.014946917,0.028191626
2d-stencil-3,3,0.012974122,0.012295622,0.025269744
mult-32-with-4,1,0.000182132,0.003267358,0.00344949
mult-32-with-4,2,0.000218569,0.003582403,0.003800972
mult-32-with-4,3,0.000236716,0.005289195,0.005525911
trove-crc-1,1,0.002356635,0.000145048,0.002501683
trove-crc-1,3,0.002523865,0.000295427,0.002819292
trove-crc-2,1,0.045775545,0.009767815,0.05554336
trove-crc-2,3,0.033823378,0.008716386,0.042539764
trove-crc-3,1,0.195737649,0.012010117,0.207747766
trove-crc-3,3,0.237658163,0.016188319,0.253846482
trove-crc-4,1,0.570837392,0.046979213,0.617816605
trove-crc-4,3,0.677904199,0.096641969,0.774546168
trove-crc-5,1,1.260356134,0.032083965,1.292440099
trove-crc-5,3,1.37802069,0.046752858,1.424773548
trove-cr_sum-1,1,0.001593851,0.000251123,0.001844974
trove-cr_sum-1,3,0.001584937,0.000403583,0.00198852
trove-cr_sum-2,1,0.00615999,0.009352886,0.015512876
trove-cr_sum-2,3,0.006323333,0.010901193,0.017224526
trove-cr_sum-3,1,0.02041003,0.012264875,0.032674905
trove-cr_sum-3,3,0.013154331,0.017872648,0.031026979
trove-cr_sum-4,1,0.022896577,0.154532048,0.177428625
trove-cr_sum-4,3,0.021195503,0.27955584,0.300751343
trove-cr_sum-5,1,0.045622031,0.021983302,0.067605333
trove-cr_sum-5,3,0.038283624,0.030548201,0.068831825
trove-cr_sum-7,1,0.069987376,0.036830246,0.106817622
trove-rcr-1,1,0.002945389,0.005529805,0.008475194
trove-rcr-1,3,0.002496399,0.011756894,0.014253293
trove-rcr-2,1,0.069911314,0.206233531,0.276144845
trove-rcr-2,3,0.043746352,1.546478837,1.590225189
trove-rcr-3,1,0.188251294,0.068984773,0.257236067
trove-rcr-3,3,0.182589212,0.092908475,0.275497687
trove-rcr-4,1,0.55213266,0.291830328,0.843962988
trove-rcr-4,3,0.563804801,3.43993579,4.003740591
trove-rcr-5,1,1.524753818,0.150539263,1.675293081
trove-rcr-5,3,1.389822301,0.279033973,1.668856274
