Spec,Spec level,Matrix time,Search time,Total time
1d-conv,1,3.489822325,0.008205309,3.498027634
1d-stencil,1,0.011569363,0.003485282,0.015054645
2d-stencil-3,1,7.584713485,0.00384563,7.588559115
mult-32-with-4,1,0.007024612,0.003076313,0.010100925
trove-crc-1,1,0.077470552,0.000159911,0.077630463
trove-crc-2,1,3.989134049,0.005859091,3.99499314
trove-crc-3,1,39.294964483,0.011945813,39.306910296
trove-crc-4,1,234.7082393,0.042812558,234.751051858
trove-crc-5,1,892.607265396,0.028574006,892.635839402
trove-cr_sum-1,1,0.04069038,0.000275159,0.040965539
trove-cr_sum-2,1,0.524507297,0.007967132,0.532474429
trove-cr_sum-3,1,2.415997974,0.012247823,2.428245797
trove-cr_sum-4,1,8.119573085,0.149328418,8.268901503
trove-cr_sum-5,1,18.888003662,0.020300162,18.908303824
trove-cr_sum-7,1,86.153405765,0.031951678,86.185357443
trove-rcr-1,1,0.069891685,0.003829178,0.073720863
trove-rcr-2,1,3.657372437,0.127321695,3.784694132
trove-rcr-3,1,39.206837772,0.045609335,39.252447107
trove-rcr-4,1,229.701530513,0.291114981,229.992645494
trove-rcr-5,1,890.023201556,0.146755995,890.169957551
