Spec,Spec level,Matrix time,Search time,Total time
1d-conv,1,2.585190819,0.00612447,2.591315289
1d-stencil,1,0.010985142,0.003450396,0.014435538
2d-stencil-3,1,10.681188114,0.003876308,10.685064422
mult-32-with-4,1,0.012505855,0.003073396,0.015579251
trove-crc-1,1,0.036179026,0.000104045,0.036283071
trove-crc-2,1,2.155090368,0.005179081,2.160269449
trove-crc-3,1,14.3324014,0.009570659,14.341972059
trove-crc-4,1,84.106110538,0.035557045,84.141667583
trove-crc-5,1,231.089848497,0.024397645,231.114246142
trove-cr_sum-1,1,0.022831277,0.000210837,0.023042114
trove-cr_sum-2,1,0.432773055,0.006473317,0.439246372
trove-cr_sum-3,1,1.743912029,0.009468477,1.753380506
trove-cr_sum-4,1,7.580135615,0.121085865,7.70122148
trove-cr_sum-5,1,11.841444997,0.015723774,11.857168771
trove-cr_sum-7,1,97.159535122,0.024958651,97.184493773
trove-rcr-1,1,0.087704777,0.003060483,0.09076526
trove-rcr-2,1,1.640888191,0.109086643,1.749974834
trove-rcr-3,1,9.269729755,0.039488878,9.309218633
trove-rcr-4,1,85.092574694,0.230515434,85.323090128
trove-rcr-5,1,197.570131961,0.124873887,197.695005848
1d-conv,2,1.545572514,0.011154451,1.556726965
1d-stencil,2,0.009712115,0.006570121,0.016282236
2d-stencil-3,2,0.945412881,0.012546312,0.957959193
mult-32-with-4,2,0.015866785,0.00320779,0.019074575
1d-conv,3,2.838571715,0.01576374,2.854335455
1d-stencil,3,0.009971444,0.008587339,0.018558783
2d-stencil-3,3,10.565216752,0.012339482,10.577556234
mult-32-with-4,3,0.001540672,0.005921348,0.00746202
trove-crc-1,3,0.033813363,0.000146756,0.033960119
trove-crc-2,3,2.28236901,0.006247732,2.288616742
trove-crc-3,3,15.342123415,0.011543123,15.353666538
trove-crc-4,3,76.568064145,0.061805014,76.629869159
trove-crc-5,3,220.16934831,0.028101369,220.197449679
trove-cr_sum-1,3,0.025387,0.000346464,0.025733464
trove-cr_sum-2,3,0.46643757,0.008406004,0.474843574
trove-cr_sum-3,3,1.891627758,0.013571265,1.905199023
trove-cr_sum-4,3,7.769347919,0.200572094,7.969920013
trove-cr_sum-5,3,12.719749346,0.020180337,12.739929683
trove-rcr-1,3,0.097571216,0.00776819,0.105339406
trove-rcr-2,3,1.736340405,1.097917705,2.83425811
trove-rcr-3,3,10.291134661,0.077373711,10.368508372
trove-rcr-4,3,88.965385554,2.552302228,91.517687782
trove-rcr-5,3,197.752963405,0.196322719,197.949286124
