spec,name,tested,found,pruned,failed,continued
specs/1d-conv-16x3.json,load_trunc,1,0,0,0,1
specs/1d-conv-16x3.json,reg_select_no_consts,14,0,13,0,1
specs/1d-conv-16x3.json,col_xforms_no_group,240,0,239,0,1
specs/1d-conv-16x3.json,col_rots_no_group,16,0,0,0,16
specs/1d-conv-16x3.json,(last),16,1,0,15,0
specs/1d-conv-32x3.json,load_trunc,1,0,0,0,1
specs/1d-conv-32x3.json,reg_select_no_consts,14,0,13,0,1
specs/1d-conv-32x3.json,col_xforms_no_group,992,0,991,0,1
specs/1d-conv-32x3.json,col_rots_no_group,32,0,31,0,1
specs/1d-conv-32x3.json,cond_keep,38,0,0,28,10
specs/1d-conv-32x3.json,(last),10,1,0,9,0
specs/1d-conv-32x5.json,load_trunc,1,0,0,0,1
specs/1d-conv-32x5.json,reg_select_no_consts,14,0,13,0,1
specs/1d-conv-32x5.json,col_xforms_no_group,992,0,991,0,1
specs/1d-conv-32x5.json,col_rots_no_group,32,0,0,0,32
specs/1d-conv-32x5.json,(last),32,1,0,31,0
specs/1d-conv-dealg-16x3.json,load_trunc,1,0,0,0,1
specs/1d-conv-dealg-16x3.json,reg_select_no_consts,14,0,13,0,1
specs/1d-conv-dealg-16x3.json,col_xforms_no_group,240,0,239,0,1
specs/1d-conv-dealg-16x3.json,col_rots_no_group,16,0,0,0,16
specs/1d-conv-dealg-16x3.json,(last),16,1,0,15,0
specs/1d-conv-dealg-32x3.json,load_trunc,1,0,0,0,1
specs/1d-conv-dealg-32x3.json,reg_select_no_consts,14,0,13,0,1
specs/1d-conv-dealg-32x3.json,col_xforms_no_group,992,0,991,0,1
specs/1d-conv-dealg-32x3.json,col_rots_no_group,32,0,0,0,32
specs/1d-conv-dealg-32x3.json,(last),32,1,0,31,0
specs/1d-conv-dealg-32x5.json,load_trunc,1,0,0,0,1
specs/1d-conv-dealg-32x5.json,reg_select_no_consts,14,0,13,0,1
specs/1d-conv-dealg-32x5.json,col_xforms_no_group,992,0,991,0,1
specs/1d-conv-dealg-32x5.json,col_rots_no_group,32,0,0,0,32
specs/1d-conv-dealg-32x5.json,(last),32,1,0,31,0
specs/1d-stencil-small-l1-for-presentation-no-prune.json,load_trunc,1,0,0,0,1
specs/1d-stencil-small-l1-for-presentation-no-prune.json,reg_select_no_consts,14,0,0,0,14
specs/1d-stencil-small-l1-for-presentation-no-prune.json,col_xforms_no_group,84,0,0,0,84
specs/1d-stencil-small-l1-for-presentation-no-prune.json,col_rots_no_group,252,0,0,240,12
specs/1d-stencil-small-l1-for-presentation-no-prune.json,(last),12,2,0,10,0
specs/1d-wconv-16x3-e-first.json,load_trunc,1,0,0,0,1
specs/1d-wconv-16x3-e-first.json,broadcast,1,0,0,0,1
specs/1d-wconv-16x3-e-first.json,reg_select_no_consts,14,0,13,0,1
specs/1d-wconv-16x3-e-first.json,col_xforms_no_group,240,0,239,0,1
specs/1d-wconv-16x3-e-first.json,col_rots_no_group,16,0,15,0,1
specs/1d-wconv-16x3-e-first.json,row_xforms_no_group,24,0,0,0,24
specs/1d-wconv-16x3-e-first.json,row_rots_no_group,72,0,0,0,72
specs/1d-wconv-16x3-e-first.json,merge_folding,72,0,0,68,4
specs/1d-wconv-16x3-e-first.json,identity,4,0,0,3,1
specs/1d-wconv-16x3-e-first.json,(last),1,1,0,0,0
specs/1d-wconv-16x3.json,load_trunc,1,0,0,0,1
specs/1d-wconv-16x3.json,broadcast,1,0,0,0,1
specs/1d-wconv-16x3.json,reg_select_no_consts,14,0,13,0,1
specs/1d-wconv-16x3.json,col_xforms_no_group,240,0,239,0,1
specs/1d-wconv-16x3.json,row_xforms_no_group,24,0,0,0,24
specs/1d-wconv-16x3.json,col_rots_no_group,384,0,360,0,24
specs/1d-wconv-16x3.json,row_rots_no_group,72,0,0,0,72
specs/1d-wconv-16x3.json,merge_folding,72,0,0,68,4
specs/1d-wconv-16x3.json,identity,4,0,0,3,1
specs/1d-wconv-16x3.json,(last),1,1,0,0,0
specs/1d-wconv-16x3-w-first.json,load_trunc,1,0,0,0,1
specs/1d-wconv-16x3-w-first.json,broadcast,1,0,0,0,1
specs/1d-wconv-16x3-w-first.json,row_xforms_no_group,24,0,0,0,24
specs/1d-wconv-16x3-w-first.json,row_rots_no_group,72,0,0,0,72
specs/1d-wconv-16x3-w-first.json,reg_select_no_consts,1008,0,936,0,72
specs/1d-wconv-16x3-w-first.json,col_xforms_no_group,17280,0,17208,0,72
specs/1d-wconv-16x3-w-first.json,col_rots_no_group,1152,0,1080,0,72
specs/1d-wconv-16x3-w-first.json,merge_folding,72,0,0,68,4
specs/1d-wconv-16x3-w-first.json,identity,4,0,0,3,1
specs/1d-wconv-16x3-w-first.json,(last),1,1,0,0,0
specs/1d-wconv-32x3-no-accum-cond.json,load_trunc,1,0,0,0,1
specs/1d-wconv-32x3-no-accum-cond.json,broadcast,1,0,0,0,1
specs/1d-wconv-32x3-no-accum-cond.json,reg_select_no_consts,14,0,13,0,1
specs/1d-wconv-32x3-no-accum-cond.json,col_xforms_no_group,992,0,991,0,1
specs/1d-wconv-32x3-no-accum-cond.json,col_rots_no_group,32,0,31,0,1
specs/1d-wconv-32x3-no-accum-cond.json,row_xforms_no_group,30,0,0,0,30
specs/1d-wconv-32x3-no-accum-cond.json,row_rots_no_group,90,0,0,0,90
specs/1d-wconv-32x3-no-accum-cond.json,merge_folding,90,0,0,87,3
specs/1d-wconv-32x3-no-accum-cond.json,identity,3,0,0,2,1
specs/1d-wconv-32x3-no-accum-cond.json,(last),1,1,0,0,0
specs/1d-wconv-6x3-rescheduled.json,load_trunc,1,0,0,0,1
specs/1d-wconv-6x3-rescheduled.json,broadcast,1,0,0,0,1
specs/1d-wconv-6x3-rescheduled.json,row_xforms_no_group,18,0,0,0,18
specs/1d-wconv-6x3-rescheduled.json,row_rots_no_group,54,0,0,0,54
specs/1d-wconv-6x3-rescheduled.json,reg_select_no_consts,756,0,702,0,54
specs/1d-wconv-6x3-rescheduled.json,col_xforms_no_group,1620,0,1566,0,54
specs/1d-wconv-6x3-rescheduled.json,col_rots_no_group,324,0,270,0,54
