matrix,spec,Old algorithm,No transposes,Transpose (on higher density),Transpose (on more 1s),m,n,k,Density (C),Transposed?,Ones (A),Ones (B),Density (A),Density (B)
"32,2-row_rots_no_group_32,2-row_xforms_no_group-32,2",l1/trove-crc-2,0.132412907,0.07473474,0.076066019,0.07532032,4096,4096,4096,0.0009613037109375,False,8192,15028,0.00048828125,0.0008957386016845703
"32,2-row_rots_no_group_32,2-row_xforms_no_group_32,2-col_rots_no_group-32,2",l1/trove-crc-2,0.18497119,0.076057494,0.077425194,0.07673508,4096,4096,4096,0.03076171875,False,16128,131072,0.0009613037109375,0.0078125
"32,2-row_rots_no_group_32,2-row_xforms_no_group_32,2-col_rots_no_group_32,2-col_xforms_no_group-32,2",l1/trove-crc-2,1.211922993,0.167577134,0.170759666,0.169932587,4096,4096,4096,0.81219482421875,False,516096,1697472,0.03076171875,0.10117721557617188
"32,2-row_rots_no_group_32,2-row_xforms_no_group_32,2-col_rots_no_group_32,2-col_xforms_no_group_32,2-row_rots_no_group-32,2",l1/trove-crc-2,0.181110564,2.388065381,0.643059396,0.644158623,4096,4096,4096,0.856201171875,True,13626368,8192,0.81219482421875,0.00048828125
"32,3-row_rots_no_group_32,3-row_xforms_no_group-32,3",l1/trove-crc-3,0.772364389,0.363315552,0.370828546,0.374839527,9216,9216,9216,0.0009509192572699653,False,27648,72485,0.0003255208333333333,0.0008534207756136671
"32,3-row_rots_no_group_32,3-row_xforms_no_group_32,3-col_rots_no_group-32,3",l1/trove-crc-3,1.572405357,0.381001761,0.386796268,0.393174152,9216,9216,9216,0.030429416232638888,False,80766,294912,0.0009509192572699653,0.003472222222222222
"32,3-row_rots_no_group_32,3-row_xforms_no_group_32,3-col_rots_no_group_32,3-col_xforms_no_group-32,3",l1/trove-crc-3,10.124703327,1.331464453,1.3380931839999999,1.3442878710000001,9216,9216,9216,0.8640927915219907,False,2584512,3702272,0.030429416232638888,0.043589650848765434
"32,3-row_rots_no_group_32,3-row_xforms_no_group_32,3-col_rots_no_group_32,3-col_xforms_no_group_32,3-row_rots_no_group-32,3",l1/trove-crc-3,1.078046571,27.748949032,3.580864505,3.5976442349999997,9216,9216,9216,0.8899739583333334,True,73391424,27648,0.8640927915219907,0.0003255208333333333
"32,4-row_rots_no_group_32,4-row_xforms_no_group-32,4",l1/trove-crc-4,2.998254584,1.145733468,1.160791458,1.177860616,16384,16384,16384,0.0009555220603942871,False,65536,231748,0.000244140625,0.0008633285760879517
"32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group-32,4",l1/trove-crc-4,7.921354659,1.2617942580000001,1.275725247,1.295103811,16384,16384,16384,0.030576705932617188,False,256496,524288,0.0009555220603942871,0.001953125
"32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group_32,4-col_xforms_no_group-32,4",l1/trove-crc-4,46.71075166,6.327372316,6.347012983,6.367844641,16384,16384,16384,0.9052581787109375,False,8207872,9943488,0.030576705932617188,0.03704237937927246
"32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group_32,4-col_xforms_no_group_32,4-row_rots_no_group-32,4",l1/trove-crc-4,14.93269462,160.084092036,11.88113183,11.879915341,16384,16384,16384,0.91680908203125,True,243003392,65536,0.9052581787109375,0.000244140625
"32,4-col_rots_no_group_32,4-col_xforms_no_group-32,4",l1/trove-rcr-4,17.473685946,1.4813030010000001,1.492903293,1.509683634,16384,16384,16384,0.057570457458496094,False,524288,9943488,0.001953125,0.03704237937927246
"32,4-col_rots_no_group_32,4-col_xforms_no_group_32,4-row_rots_no_group-32,4",l1/trove-rcr-4,16.554338772,11.418996096,11.97136138,12.009058382,16384,16384,16384,0.23028182983398438,True,15453952,65536,0.057570457458496094,0.000244140625
"32,4-col_rots_no_group_32,4-col_xforms_no_group_32,4-row_rots_no_group_32,4-row_xforms_no_group-32,4",l1/trove-rcr-4,19.503933731,46.337826691,11.963379967,12.005748179,16384,16384,16384,0.9093227386474609,True,61815808,231748,0.23028182983398438,0.0008633285760879517
"32,4-col_rots_no_group_32,4-col_xforms_no_group_32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group-32,4",l1/trove-rcr-4,18.382672327,158.72957234,12.130784533,12.152914375,16384,16384,16384,0.925689697265625,True,244094464,524288,0.9093227386474609,0.001953125
"32-col_rots_no_group_32,5-col_xforms_no_group-32,5",l1/trove-cr_sum-5,8.248001752,0.958791247,13.199377483,0.999744287,1024,25600,25600,0.920498046875,False,819200,10827088,0.03125,0.0165208251953125
"32-col_rots_no_group_32,5-col_xforms_no_group_32,5-row_rots_no_group-32,5",l1/trove-cr_sum-5,2.690619008,24.38901519,12.346895319,12.433198615,1024,25600,25600,0.945703125,True,24130304,128000,0.920498046875,0.0001953125
"32-col_rots_no_group_32,7-col_xforms_no_group-32,7",l1/trove-cr_sum-7,34.593962352,3.391017868,53.242214348,3.54767132,1024,50176,50176,0.9359006297831632,False,1605632,22213872,0.03125,0.008823323279606804
"32-col_rots_no_group_32,7-col_xforms_no_group_32,7-row_rots_no_group-32,7",l1/trove-cr_sum-7,29.811327445,94.043002601,51.300204485,50.309174168,1024,50176,50176,0.9612165178571429,True,48086784,351232,0.9359006297831632,0.00013950892857142856
"32,5-row_rots_no_group_32,5-row_xforms_no_group-32,5",l1/trove-crc-5,8.912103529,2.798475742,2.837258411,2.880001015,25600,25600,25600,0.00095672607421875,False,128000,575945,0.0001953125,0.0008788223266601562
"32,5-row_rots_no_group_32,5-row_xforms_no_group_32,5-col_rots_no_group-32,5",l1/trove-crc-5,29.640147842,3.2694748049999998,3.293980486,3.340720263,25600,25600,25600,0.030615234375,False,627000,819200,0.00095672607421875,0.00125
"32,5-row_rots_no_group_32,5-row_xforms_no_group_32,5-col_rots_no_group_32,5-col_xforms_no_group-32,5",l1/trove-crc-5,139.40697757,22.216507964,41.872253453,41.810954862,25600,25600,25600,0.906208251953125,True,20064000,10827088,0.030615234375,0.0165208251953125
"32,5-row_rots_no_group_32,5-row_xforms_no_group_32,5-col_rots_no_group_32,5-col_xforms_no_group_32,5-row_rots_no_group-32,5",l1/trove-crc-5,29.27370191,599.462454922,30.535334083,30.440797502,25600,25600,25600,0.930234375,True,593892640,128000,0.906208251953125,0.0001953125
