spec,key,Event,Time (old format),Time (new format)
l1/trove-crc-2,"32,2-row_rots_no_group-32,2",build,0.002440465,0.002579222
l1/trove-crc-2,"32,2-row_xforms_no_group-32,2",build,0.00651654,0.006560339
l1/trove-crc-2,"32,2-row_rots_no_group_32,2-row_xforms_no_group-32,2",mul,0.074180135,0.083270405
l1/trove-crc-2,"32,2-col_rots_no_group-32,2",build,0.021242721,0.017456387
l1/trove-crc-2,"32,2-row_rots_no_group_32,2-row_xforms_no_group_32,2-col_rots_no_group-32,2",mul,0.075278392,0.106629183
l1/trove-crc-2,"32,2-col_xforms_no_group-32,2",build,0.518032122,0.497084982
l1/trove-crc-2,"32,2-row_rots_no_group_32,2-row_xforms_no_group_32,2-col_rots_no_group_32,2-col_xforms_no_group-32,2",mul,0.168580986,0.384170186
l1/trove-crc-2,"32,2-row_rots_no_group_32,2-row_xforms_no_group_32,2-col_rots_no_group_32,2-col_xforms_no_group_32,2-row_rots_no_group-32,2",mul,0.651434641,0.08234243
l1/trove-crc-2,l1/trove-crc-2,search,0.011768842,0.011760656
l1/trove-crc-3,"32,3-row_rots_no_group-32,3",build,0.006369493,0.006248868
l1/trove-crc-3,"32,3-row_xforms_no_group-32,3",build,0.047903299,0.045512295
l1/trove-crc-3,"32,3-row_rots_no_group_32,3-row_xforms_no_group-32,3",mul,0.36847748,0.425714991
l1/trove-crc-3,"32,3-col_rots_no_group-32,3",build,0.05728735,0.052612722
l1/trove-crc-3,"32,3-row_rots_no_group_32,3-row_xforms_no_group_32,3-col_rots_no_group-32,3",mul,0.387631551,0.52528085
l1/trove-crc-3,"32,3-col_xforms_no_group-32,3",build,1.475002719,1.432137687
l1/trove-crc-3,"32,3-row_rots_no_group_32,3-row_xforms_no_group_32,3-col_rots_no_group_32,3-col_xforms_no_group-32,3",mul,1.343143784,1.786297026
l1/trove-crc-3,"32,3-row_rots_no_group_32,3-row_xforms_no_group_32,3-col_rots_no_group_32,3-col_xforms_no_group_32,3-row_rots_no_group-32,3",mul,3.641514106,0.410094716
l1/trove-crc-3,l1/trove-crc-3,search,0.019939214,0.019881327
l1/trove-crc-4,"32,4-row_rots_no_group-32,4",build,0.019349906,0.021762612
l1/trove-crc-4,"32,4-row_xforms_no_group-32,4",build,0.149661731,0.145830254
l1/trove-crc-4,"32,4-row_rots_no_group_32,4-row_xforms_no_group-32,4",mul,1.163655049,1.401404397
l1/trove-crc-4,"32,4-col_rots_no_group-32,4",build,0.132599686,0.130748462
l1/trove-crc-4,"32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group-32,4",mul,1.275383274,1.631182222
l1/trove-crc-4,"32,4-col_xforms_no_group-32,4",build,6.653150129,6.5309902399999995
l1/trove-crc-4,"32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group_32,4-col_xforms_no_group-32,4",mul,6.3429139039999995,7.8287273630000005
l1/trove-crc-4,"32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group_32,4-col_xforms_no_group_32,4-row_rots_no_group-32,4",mul,12.124377926,1.293936831
l1/trove-crc-4,l1/trove-crc-4,search,0.085730087,0.086131534
l1/trove-rcr-4,"32,4-col_rots_no_group-32,4",load,0.187524459,0.188946597
l1/trove-rcr-4,"32,4-col_xforms_no_group-32,4",load,0.199724627,0.195672958
