Problem,Level,Mat. creation,Mat. reuse,Mat. multiply,Search,Mat. load,Total synthesis
"Convolution (weights, k=3)",R,0.0,0.016897195,0.0,0.014564122,0.009373745,0.031461317
"Convolution (no weights, k=3)",R,0.004950079,0.309941468,0.352456076,0.008129551,0.009504519,0.675477174
2D stencil (k=3),R,0.013682503,0.028789267,0.002259562,0.010199054,0.017190472999999998,0.054930386
2D stencil (k=5),R,0.533060154,0.031720114,0.162347646,0.158274301,0.133862916,0.885402215
2D stencil (k=7),R,3.730532556,0.8445431350000001,0.128973434,0.001411677,0.517794455,4.705460802
FFM (w=4),R,0.000679301,0.000380172,0.000155265,0.006019266,0.000207264,0.007234004
"Trove (Sum, s=1)",R,0.003178392,0.0,0.0,0.000541255,0.001832541,0.003719647
"Trove (Sum, s=2)",R,0.012594131,0.13722860199999998,0.776511418,0.016162974,0.010785791,0.942497125
"Trove (Sum, s=3)",R,0.033246985,0.28732488599999995,1.736194604,0.024256872,0.024263238000000003,2.081023347
"Trove (Sum, s=4)",R,0.062186853,0.886138689,4.659987981,0.303290188,0.041661343,5.911603711
"Trove (Sum, s=5)",R,0.0982534,0.842835961,5.197824132,0.042450962,0.062439773000000004,6.181364455000001
"Trove (Sum, s=7)",R,0.206029954,1.7987962999999998,11.05543742,0.068375976,0.12200241599999999,13.12863965
"Trove (CRC, s=1)",R,0.002378662,0.0,0.001453201,0.000609443,0.00059059,0.004441306000000001
"Trove (CRC, s=2)",R,0.0,0.156623793,0.37229524300000005,0.0119969,0.026779321000000002,0.540915936
"Trove (CRC, s=3)",R,0.020917064,0.329950039,1.656235031,0.021591754,0.129941607,2.0286938880000003
"Trove (CRC, s=4)",R,5.161554077,0.0,7.639897895000001,0.090613173,0.417306497,12.892065145
"Trove (CRC, s=5)",R,0.0,0.9696413490000001,13.001038801,0.042678658,1.067498841,14.013358808
"Trove (CRC, s=7)",R,0.0,2.081296091,50.966666319,0.074836648,4.318927219,53.122799058
"Trove (RCR, s=1)",R,0.0,0.006470715,0.013063776,0.010075952,0.002268788,0.029610443
"Trove (RCR, s=2)",R,0.525611384,0.0,0.8182375270000001,0.221999816,0.032497922,1.565848727
"Trove (RCR, s=3)",R,0.0,0.34473136099999996,1.890517069,0.067015485,0.145462173,2.302263915
"Trove (RCR, s=4)",R,0.0,1.011193773,5.044633177999999,0.445950893,0.445086961,6.5017778439999985
"Trove (RCR, s=5)",R,4.065457555,0.0,6.985933606,0.166777052,1.095672983,11.218168213
"Trove (RCR, s=7)",R,9.518632675000001,0.0,20.055428814,0.32441257,4.124783935,29.898474059
"Convolution (weights, k=3)",FC,0.0,0.016962693,0.0,0.029490887,0.009356168000000002,0.04645358
"Convolution (no weights, k=3)",FC,1.30313778,0.0,0.40857904300000003,0.01639569,0.009441181,1.728112513
2D stencil (k=3),FC,0.091892416,0.0,0.0199752,0.040370468,0.017467146000000003,0.152238084
2D stencil (k=7),FC,105.37412888,0.0,1.027815416,14.27275604,0.537782033,120.674700336
FFM (w=4),FC,0.0025507640000000005,5.2131e-05,0.000201264,0.006338529,0.00022398399999999996,0.009142688
"Convolution (weights, k=3)",F,0.0,0.017099499,0.0,0.040386222,0.009047159999999999,0.057485721000000004
"Convolution (no weights, k=3)",F,0.0,0.33490759999999997,0.367286136,0.019902985,0.009298241,0.7220967209999999
2D stencil (k=3),F,0.049577239,0.011306283,0.021036779,0.040279747,0.017416079,0.122200048
2D stencil (k=5),F,0.8208603480000001,0.0,0.164933825,0.336775506,0.12678921899999998,1.322569679
2D stencil (k=7),F,1.8774808200000002,0.551675216,0.7017570080000001,14.842602789,0.505499996,17.973515833
FFM (w=4),F,0.000158294,0.000356031,4.5795e-05,0.007048337,0.00020403200000000001,0.007608457
"Trove (Sum, s=1)",F,0.005707443,0.0,0.0,0.000900621,0.002134082,0.006608064
"Trove (Sum, s=2)",F,0.02737046,0.142716856,1.049103221,0.020899834,0.012460437,1.240090371
"Trove (Sum, s=3)",F,0.069940295,0.303696595,2.482828037,0.032408865,0.028268013999999998,2.888873792
"Trove (Sum, s=4)",F,0.135432403,0.91885717,6.657391868,0.515702768,0.048324126,8.227384209
"Trove (Sum, s=5)",F,0.228101368,0.903522417,7.872349948,0.055988467,0.077725006,9.059962200000001
"Trove (CRC, s=1)",F,0.004438352,0.0,0.001893091,0.000337184,0.000643496,0.006668626999999999
"Trove (CRC, s=2)",F,0.0,0.177032943,0.390833276,0.015065206,0.027046254999999998,0.5829314250000001
"Trove (CRC, s=3)",F,1.807413131,0.0,1.8130521309999998,0.026947192,0.151232392,3.647412454
"Trove (CRC, s=4)",F,7.021019924,0.0,8.019116668999999,0.152553479,0.426678244,15.192690072
"Trove (CRC, s=5)",F,0.0,1.060365302,14.220079325,0.053697072,1.045605544,15.334141699
"Trove (CRC, s=7)",F,0.0,2.246779248,55.477559113000005,0.089556324,4.163333795,57.81389468500001
"Trove (RCR, s=1)",F,0.0,0.008435187,0.022498558,0.023726124,0.002589493,0.054659869
"Trove (RCR, s=2)",F,0.701502172,0.0,1.1136242820000002,2.5023473640000002,0.034843939000000004,4.317473818
"Trove (RCR, s=3)",F,0.0,0.38238738299999997,2.402479068,0.144558182,0.15559543599999998,2.929424633
"Trove (RCR, s=4)",F,0.0,1.082219303,6.367626277,5.561909675,0.451119121,13.011755255
"Trove (RCR, s=5)",F,5.528867793,0.0,10.429280617,0.286089693,1.082832434,16.244238103
"Trove (RCR, s=7)",F,12.659487188,0.0,28.104750367,0.40656034,4.417908684,41.170797895
