Problem,Level,False positives,True positives,True negatives,Search time,# of pruning steps
2D stencil (k=3),F,0,22,244,0.040279747,6
2D stencil (k=3),FC,0,22,220,0.040370468,6
2D stencil (k=3),R,0,6,54,0.010199054,6
2D stencil (k=5),F,14,6,312,0.336775506,6
2D stencil (k=5),R,0,6,54,0.158274301,6
2D stencil (k=7),F,400,22,32729,14.842602789,6
2D stencil (k=7),FC,400,22,31969,14.27275604,6
2D stencil (k=7),R,0,0,93,0.001411677,6
"Convolution (no weights, k=3)",F,0,6,2842,0.019902985,3
"Convolution (no weights, k=3)",FC,0,6,2080,0.01639569,3
"Convolution (no weights, k=3)",R,0,3,1035,0.008129551,3
"Convolution (weights, k=3)",F,3,3,2842,0.040386222,3
"Convolution (weights, k=3)",FC,3,3,2080,0.029490887,3
"Convolution (weights, k=3)",R,0,3,1035,0.014564122,3
FFM (w=4),F,218,14,1298,0.007048337,7
FFM (w=4),FC,218,14,1133,0.006338529,7
FFM (w=4),R,214,14,781,0.006019266,7
"Trove (CRC, s=1)",F,0,5,57,0.000337184,5
"Trove (CRC, s=1)",R,0,5,31,0.000609443,5
"Trove (CRC, s=2)",F,7,0,2609,0.015065206,5
"Trove (CRC, s=2)",R,7,0,1997,0.0119969,5
"Trove (CRC, s=3)",F,0,10,2896,0.026947192,5
"Trove (CRC, s=3)",R,0,10,2134,0.021591754,5
"Trove (CRC, s=4)",F,8,0,13664,0.152553479,5
"Trove (CRC, s=4)",R,5,0,7995,0.090613173,5
"Trove (CRC, s=5)",F,2,10,3152,0.053697072,5
"Trove (CRC, s=5)",R,2,10,2356,0.042678658,5
"Trove (CRC, s=7)",F,4,10,3504,0.089556324,5
"Trove (CRC, s=7)",R,4,10,2706,0.074836648,5
"Trove (RCR, s=1)",F,0,233,0,0.023726124,5
"Trove (RCR, s=1)",R,0,129,0,0.010075952,5
"Trove (RCR, s=2)",F,119,1120,396945,2.5023473640000002,5
"Trove (RCR, s=2)",R,0,160,33984,0.221999816,5
"Trove (RCR, s=3)",F,70,14,13479,0.144558182,5
"Trove (RCR, s=3)",R,44,14,5421,0.067015485,5
"Trove (RCR, s=4)",F,134,528,460681,5.561909675,5
"Trove (RCR, s=4)",R,0,80,35184,0.445950893,5
"Trove (RCR, s=5)",F,65,14,13596,0.286089693,5
"Trove (RCR, s=5)",R,44,14,7737,0.166777052,5
"Trove (RCR, s=7)",F,56,14,14117,0.40656034,5
"Trove (RCR, s=7)",R,44,14,11373,0.32441257,5
"Trove (Sum, s=1)",F,0,3,0,0.000900621,3
"Trove (Sum, s=1)",R,0,3,0,0.000541255,3
"Trove (Sum, s=2)",F,7,0,2609,0.020899834,3
"Trove (Sum, s=2)",R,7,0,1997,0.016162974,3
"Trove (Sum, s=3)",F,0,6,2724,0.032408865,3
"Trove (Sum, s=3)",R,0,6,2014,0.024256872,3
"Trove (Sum, s=4)",F,18,0,40814,0.515702768,3
"Trove (Sum, s=4)",R,15,0,23865,0.303290188,3
"Trove (Sum, s=5)",F,2,6,2840,0.055988467,3
"Trove (Sum, s=5)",R,2,6,2096,0.042450962,3
"Trove (Sum, s=7)",R,4,6,2226,0.068375976,3
