spec,False,True
l1/1d-conv,0.014855335,0.014846918
l1/1d-stencil,0.008217833,0.007928646
l1/2d-stencil-3,0.010610192,0.010531853
l1/2d-stencil-5,0.163691634,0.163128618
l1/2d-stencil-7,0.001605303,0.001587403
l1/mult-32-with-4,0.002021262,9.5596e-05
l1/trove-cr_sum-1,0.000556372,0.000543154
l1/trove-cr_sum-2,0.016806443,9.8595e-05
l1/trove-cr_sum-3,0.025709788,0.025251997
l1/trove-cr_sum-4,0.321243951,0.000875328
l1/trove-cr_sum-5,0.043367295,0.040882246
l1/trove-cr_sum-7,0.068173118,0.061896517
l1/trove-crc-1,0.000241395,0.00023795
l1/trove-crc-2,0.013786778,7.7682e-05
l1/trove-crc-3,0.024035086,0.023304669
l1/trove-crc-4,0.099242433,0.000782796
l1/trove-crc-5,0.046514219,0.043907105
l1/trove-crc-7,0.082095892,0.071602815
l1/trove-rcr-1,0.01021576,0.009912847
l1/trove-rcr-2,0.235266413,0.232258105
l1/trove-rcr-3,0.068238125,0.045124996
l1/trove-rcr-4,0.467497544,0.470890629
l1/trove-rcr-5,0.172332067,0.085017422
l1/trove-rcr-7,0.341445157,0.129790423
l2/1d-conv,0.031458163,0.015701713
l2/1d-stencil,0.016185317,0.016277968
l2/2d-stencil-3,0.041120129,0.040332558
l2/2d-stencil-7,15.508774628,3.754517079
l2/mult-32-with-4,0.001984952,9.3531e-05
l3/1d-conv,0.040691773,0.020847041
l3/1d-stencil,0.021488437,0.021188648
l3/2d-stencil-3,0.041206178,0.041078556
l3/2d-stencil-5,0.359277682,0.164239393
l3/2d-stencil-7,16.214698086,3.766161264
l3/mult-32-with-4,0.002263865,0.000106361
l3/trove-cr_sum-1,0.00084965,0.00082227
l3/trove-cr_sum-2,0.021890444,9.7734e-05
l3/trove-cr_sum-3,0.033229151,0.032783418
l3/trove-cr_sum-4,0.473442579,0.001675622
l3/trove-cr_sum-5,0.056696414,0.056867769
l3/trove-crc-1,0.000333014,0.000348997
l3/trove-crc-2,0.017693223,8.2709e-05
l3/trove-crc-3,0.031424453,0.030567355
l3/trove-crc-4,0.127058457,0.001383776
l3/trove-crc-5,0.058023325,0.055641742
l3/trove-crc-7,0.095169019,0.087512876
l3/trove-rcr-1,0.023797855,0.023195455
l3/trove-rcr-2,2.66558605,2.432179304
l3/trove-rcr-3,0.126241045,0.059931661
l3/trove-rcr-4,5.625653805,4.599148013
l3/trove-rcr-5,0.276438487,0.114497603
l3/trove-rcr-7,0.432192469,0.16801286
