spec,False,True
l1/1d-conv,0.015878244,0.014264676
l1/1d-stencil,0.008093467,0.007018889
l1/2d-stencil-3,0.01089964,0.001081752
l1/2d-stencil-5,0.162586603,0.004974478
l1/2d-stencil-7,0.001583839,0.001678814
l1/mult-32-with-4,0.002073857,0.000106804
l1/trove-cr_sum-1,0.000579569,0.000431205
l1/trove-cr_sum-2,0.017544275,0.00011067
l1/trove-cr_sum-3,0.026360103,0.023075678
l1/trove-cr_sum-4,0.331304026,0.000849852
l1/trove-cr_sum-5,0.045903749,0.035350619
l1/trove-cr_sum-7,0.071595363,0.051262985
l1/trove-crc-1,0.000263157,0.000154011
l1/trove-crc-2,0.014877898,7.9269e-05
l1/trove-crc-3,0.02401922,0.021144204
l1/trove-crc-4,0.099536183,0.000795142
l1/trove-crc-5,0.052535989,0.041087341
l1/trove-crc-7,0.084540969,0.055681155
l1/trove-rcr-1,0.013151495,0.004252306
l1/trove-rcr-2,0.256362622,0.219656922
l1/trove-rcr-3,0.076428181,0.043023297
l1/trove-rcr-4,0.458221561,0.418139621
l1/trove-rcr-5,0.184793427,0.069205379
l1/trove-rcr-7,0.358472459,0.102568152
l2/1d-conv,0.031402685,0.016204217
l2/1d-stencil,0.017524688,0.015076938
l2/2d-stencil-3,0.044214993,0.003868208
l2/2d-stencil-7,15.681400861,0.427157133
l2/mult-32-with-4,0.002287143,9.0248e-05
l3/1d-conv,0.040782812,0.019953802
l3/1d-stencil,0.021723235,0.020151722
l3/2d-stencil-3,0.042429094,0.003698448
l3/2d-stencil-5,0.36297995,0.007414551
l3/2d-stencil-7,16.306818345,0.410896287
l3/mult-32-with-4,0.002316038,0.000111602
l3/trove-cr_sum-1,0.001049941,0.000689717
l3/trove-cr_sum-2,0.022410257,0.000104104
l3/trove-cr_sum-3,0.034310463,0.031735155
l3/trove-cr_sum-4,0.475906619,0.001685441
l3/trove-cr_sum-5,0.057380423,0.048498921
l3/trove-crc-1,0.000351386,0.000238538
l3/trove-crc-2,0.019526608,7.9961e-05
l3/trove-crc-3,0.031449575,0.028721442
l3/trove-crc-4,0.126849941,0.001653893
l3/trove-crc-5,0.059258868,0.047135585
l3/trove-crc-7,0.100499284,0.069009576
l3/trove-rcr-1,0.025024637,0.012309908
l3/trove-rcr-2,2.667417109,2.300838856
l3/trove-rcr-3,0.129975749,0.0570369
l3/trove-rcr-4,5.693354903,4.2575758839999995
l3/trove-rcr-5,0.265589784,0.098260157
l3/trove-rcr-7,0.434883299,0.1353765
