matrix,spec,2020-06-23-ensure-matrix-refactor-had-no-bad-effect time,2020-06-05-all-timings time
"4,4-identity_4,4,7,7-2s-rnc{main[1]out[1]second[3]}-4,4,7,7",l2/2d-stencil-7,0.13556515,0.155329595
"4,4-identity_4,4,7,7-2s-rnc{main[1]out[1]second[3]}_4,4,7,7-2s-xfnc{main[1]out[1]second[3]}-4,4,7,7",l2/2d-stencil-7,0.154669174,0.181000545
"4,4-identity_4,4,7,7-2s-rnc{main[1]out[1]second[3]}_4,4,7,7-2s-xfnc{main[1]out[1]second[3]}_4,4,7,7-2s-g{axis[3]consts[0|1|-1|4|-4]dims[1|3]}-4,4,7,3",l2/2d-stencil-7,0.352356754,
"4,4-identity_4,4,7,7-2s-rnc{main[1]out[1]second[3]}_4,4,7,7-2s-xfnc{main[1]out[1]second[3]}_4,4,7,7-2s-g{axis[3]consts[0|1|-1|4|-4]dims[1|3]}_4,4,7,3-2s-rnc{main[0]out[0]second[2]}-4,4,7,3",l2/2d-stencil-7,0.017045716,
"4,4-identity_4,4,7,7-2s-rnc{main[1]out[1]second[3]}_4,4,7,7-2s-xfnc{main[1]out[1]second[3]}_4,4,7,7-2s-g{axis[3]consts[0|1|-1|4|-4]dims[1|3]}_4,4,7,3-2s-rnc{main[0]out[0]second[2]}_4,4,7,3-2s-xfnc{main[0]out[0]second[2]}-4,4,7,3",l2/2d-stencil-7,0.029100852,
"4,4-identity_4,4,7,7-2s-r{main[1]out[1]second[3]}-4,4,7,7",l3/2d-stencil-7,0.124790976,0.143792204
"4,4-identity_4,4,7,7-2s-r{main[1]out[1]second[3]}_4,4,7,7-2s-xf{main[1]out[1]second[3]}-4,4,7,7",l3/2d-stencil-7,0.135810917,0.162803836
"4,4-identity_4,4,7,7-2s-r{main[1]out[1]second[3]}_4,4,7,7-2s-xf{main[1]out[1]second[3]}_4,4,7,7-2s-g{axis[3]consts[0|1|-1|4|-4]dims[1|3]}-4,4,7,3",l3/2d-stencil-7,0.114406937,
"4,4-identity_4,4,7,7-2s-r{main[1]out[1]second[3]}_4,4,7,7-2s-xf{main[1]out[1]second[3]}_4,4,7,7-2s-g{axis[3]consts[0|1|-1|4|-4]dims[1|3]}_4,4,7,3-2s-r{main[0]out[0]second[2]}-4,4,7,3",l3/2d-stencil-7,0.016650698,
"4,4-identity_4,4,7,7-2s-r{main[1]out[1]second[3]}_4,4,7,7-2s-xf{main[1]out[1]second[3]}_4,4,7,7-2s-g{axis[3]consts[0|1|-1|4|-4]dims[1|3]}_4,4,7,3-2s-r{main[0]out[0]second[2]}_4,4,7,3-2s-xf{main[0]out[0]second[2]}-4,4,7,3",l3/2d-stencil-7,0.0248312,
"32,7-col_rots_32,7-col_xforms-32,7",l3/trove-rcr-7,13.301737566,18.502522024
"32,7-col_rots_32,7-col_xforms_32,7-row_rots-32,7",l3/trove-rcr-7,0.86402674,0.866582847
"32,7-col_rots_32,7-col_xforms_32,7-row_rots_32,7-row_xforms-32,7",l3/trove-rcr-7,4.270077954,4.295169585
"32,7-col_rots_32,7-col_xforms_32,7-row_rots_32,7-row_xforms_32,7-col_rots-32,7",l3/trove-rcr-7,4.419370249,4.440475911
"32,7-row_rots_32,7-row_xforms-32,7",l3/trove-crc-7,0.227827997,0.282881424
"32,7-row_rots_32,7-row_xforms_32,7-col_rots-32,7",l3/trove-crc-7,4.403803546,4.295906255
"32,7-row_rots_32,7-row_xforms_32,7-col_rots_32,7-col_xforms-32,7",l3/trove-crc-7,50.077191552,50.178224866
"32,7-row_rots_32,7-row_xforms_32,7-col_rots_32,7-col_xforms_32,7-row_rots-32,7",l3/trove-crc-7,0.870135427,0.720546568
"4,4-identity_4,4,7,7-2s-rnc{main[1]out[1]second[3]}_4,4,7,7-2s-xfnc{main[1]out[1]second[3]}_4,4,7,7-2s-gnc{axis[3]dims[1|3]}-4,4,7,3",l1/2d-stencil-7,0.112705276,
"4,4-identity_4,4,7,7-2s-rnc{main[1]out[1]second[3]}_4,4,7,7-2s-xfnc{main[1]out[1]second[3]}_4,4,7,7-2s-gnc{axis[3]dims[1|3]}_4,4,7,3-2s-rnc{main[0]out[0]second[2]}-4,4,7,3",l1/2d-stencil-7,0.015679505,
"4,4-identity_4,4,7,7-2s-rnc{main[1]out[1]second[3]}_4,4,7,7-2s-xfnc{main[1]out[1]second[3]}_4,4,7,7-2s-gnc{axis[3]dims[1|3]}_4,4,7,3-2s-rnc{main[0]out[0]second[2]}_4,4,7,3-2s-xfnc{main[0]out[0]second[2]}-4,4,7,3",l1/2d-stencil-7,0.023913987,
"32,7-col_rots_no_group_32,7-col_xforms_no_group-32,7",l1/trove-rcr-7,8.558450515,11.457964648
"32,7-col_rots_no_group_32,7-col_xforms_no_group_32,7-row_rots_no_group-32,7",l1/trove-rcr-7,0.864109083,0.868242106
"32,7-col_rots_no_group_32,7-col_xforms_no_group_32,7-row_rots_no_group_32,7-row_xforms_no_group-32,7",l1/trove-rcr-7,4.266195949,4.2970761379999995
"32,7-col_rots_no_group_32,7-col_xforms_no_group_32,7-row_rots_no_group_32,7-row_xforms_no_group_32,7-col_rots_no_group-32,7",l1/trove-rcr-7,3.4290130039999998,3.432145922
"32,7-row_rots_no_group_32,7-row_xforms_no_group-32,7",l1/trove-crc-7,0.228806737,0.301988395
"32,7-row_rots_no_group_32,7-row_xforms_no_group_32,7-col_rots_no_group-32,7",l1/trove-crc-7,3.27459934,3.282130085
"32,7-row_rots_no_group_32,7-row_xforms_no_group_32,7-col_rots_no_group_32,7-col_xforms_no_group-32,7",l1/trove-crc-7,46.574782561,46.661346924
"32,7-row_rots_no_group_32,7-row_xforms_no_group_32,7-col_rots_no_group_32,7-col_xforms_no_group_32,7-row_rots_no_group-32,7",l1/trove-crc-7,0.867156421,0.721200915
"32-cond_keep_32,3-col_rots_no_group-32,3",l2/1d-stencil,0.026571644,0.034898639
"32-cond_keep_32,3-col_rots_no_group_32,3-col_xforms_no_group-32,3",l2/1d-stencil,0.331948302,0.373680404
"4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}-4,4,3,3",l2/2d-stencil-3,0.003651593,0.00431485
"4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}_4,4,3,3-2s-xfnc{main[1]out[1]second[3]}-4,4,3,3",l2/2d-stencil-3,0.004003599,0.004896802
"4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}_4,4,3,3-2s-xfnc{main[1]out[1]second[3]}_4,4,3,3-2s-g{axis[3]dims[1|3]}-4,4,3,2",l2/2d-stencil-3,0.00260363,
"4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}_4,4,3,3-2s-xfnc{main[1]out[1]second[3]}_4,4,3,3-2s-g{axis[3]dims[1|3]}_4,4,3,2-2s-rnc{main[0]out[0]second[2]}-4,4,3,2",l2/2d-stencil-3,0.001266782,
"4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}_4,4,3,3-2s-xfnc{main[1]out[1]second[3]}_4,4,3,3-2s-g{axis[3]dims[1|3]}_4,4,3,2-2s-rnc{main[0]out[0]second[2]}_4,4,3,2-2s-xfnc{main[0]out[0]second[2]}-4,4,3,2",l2/2d-stencil-3,0.001800928,
"8-reshape_2,4-transpose-4,2",l2/mult-32-with-4,1.5656e-05,1.0341e-05
"8-reshape_2,4-transpose_4,2-cond_keep{restrict[1|1]}-4,2,4",l2/mult-32-with-4,9.8329e-05,0.000112529
"8-reshape_2,4-transpose_4,2-cond_keep{restrict[1|1]}_4,2,4-broadcast{group[1]}-4,4",l2/mult-32-with-4,4.9665e-05,3.8132e-05
"8-reshape_2,4-transpose_4,2-cond_keep{restrict[1|1]}_4,2,4-broadcast{group[1]}_4,4-rots_no_group{main[0]out[1]second[1]}-4,4",l2/mult-32-with-4,4.4861e-05,4.0262e-05
"4,4-identity_4,4,5,5-2s-rnc{main[1]out[1]second[3]}-4,4,5,5",l2/2d-stencil-5,0.029165193,0.035249006
"4,4-identity_4,4,5,5-2s-rnc{main[1]out[1]second[3]}_4,4,5,5-2s-xfnc{main[1]out[1]second[3]}-4,4,5,5",l2/2d-stencil-5,0.033839715,0.04163456
"4,4-identity_4,4,5,5-2s-rnc{main[1]out[1]second[3]}_4,4,5,5-2s-xfnc{main[1]out[1]second[3]}_4,4,5,5-2s-g{axis[3]dims[1|3]}-4,4,5,2",l2/2d-stencil-5,0.015451153,
