Spec,Baseline,All,Falsely viable,Nonviable,Truly viable,Viable
l3/trove-rcr-4,2.55543383,3.771795474,2.5407143530000003,5.135036886,2.938957944,1.865730785
l3/2d-stencil-7,2.413098792,0.067489162,0.989483778,2.334860612,1.7100146870000001,0.186667757
l2/2d-stencil-7,2.397979897,0.066821652,0.99092323,2.336182203,1.689201466,0.187466645
l3/trove-rcr-2,1.111086466,2.087196196,1.398469355,2.429910565,1.377602577,1.001386231
l3/trove-rcr-7,0.299528691,0.12298724,0.101266471,0.41869603,0.269801569,0.066526558
l3/trove-cr_sum-4,0.228568811,0.000999204,0.000997509,0.519796354,0.296702715,0.000940515
l1/trove-rcr-7,0.223525112,0.092040859,0.080105188,0.328997444,0.194872591,0.047846881
l1/trove-rcr-4,0.222110062,0.377012687,0.267073994,0.421046514,0.225435933,0.185406421
l3/trove-rcr-5,0.175126455,0.081681484,0.065393272,0.254539368,0.160701664,0.04949635
l1/trove-cr_sum-4,0.135174159,0.000718633,0.000477163,0.28680626,0.175800732,0.000417754
l1/trove-rcr-5,0.113510338,0.059597771,0.054500564,0.163749172,0.100096411,0.034799837
l1/trove-rcr-2,0.10116442,0.19838798,0.14031497,0.212411418,0.117444997,0.093155333
l3/trove-rcr-3,0.072767593,0.047000457,0.035793935,0.132713051,0.084506327,0.025026913
l3/trove-crc-4,0.069745057,0.000905805,0.000809598,0.146139553,0.089218497,0.000677678
l3/trove-crc-7,0.064008788,0.064718135,0.051192033,0.089338068,0.043026929,0.034177015
l2/2d-stencil-5,0.064002308,0.000894026,0.051026107,0.058213626,0.03427481,0.003243134
l3/2d-stencil-5,0.062768743,0.000923571,0.05415737,0.057570999,0.033482985,0.003118236
l1/trove-crc-7,0.054819136,0.052133327,0.047216765,0.077808952,0.035757439,0.028617016
l1/trove-crc-4,0.043956873,0.000663824,0.000460418,0.094266194,0.051935566,0.000334754
l1/2d-stencil-5,0.042800733,0.000505556,0.051701637,0.040989656,0.00263274,0.002198573
l1/trove-cr_sum-7,0.033841616,0.04472558,0.035368315,0.060365073,0.032720837,0.023529802
l3/trove-crc-5,0.033179647,0.042337844,0.031493366,0.051993131,0.027435292,0.022937366
l1/trove-rcr-3,0.030923672,0.034751665,0.026448306,0.054540136,0.038640298,0.01732216
l1/trove-crc-5,0.028226481,0.033536332,0.025635726,0.045497567,0.020344812,0.018803619
l3/trove-cr_sum-5,0.024293899,0.041857905,0.030610994,0.046616663,0.028044298,0.022875019
l1/trove-cr_sum-5,0.018961181,0.03167205,0.022929446,0.035811159,0.021544538,0.015464946
l3/1d-conv,0.01701251,0.012986946,0.011750618,0.025740855,0.021954145,0.008649144
l3/trove-cr_sum-3,0.01408088,0.026212073,0.019298414,0.028221331,0.017479952,0.013796877
l2/1d-conv,0.013004623,0.009281999,0.008272063,0.019678834,0.015343993,0.006442704
l3/trove-crc-3,0.012013257,0.023909918,0.018391263,0.025346792,0.014046608,0.012562147
l2/2d-stencil-3,0.01122794,0.001100542,0.012340263,0.010578368,0.001763512,0.001465267
l3/2d-stencil-3,0.010733142,0.001121469,0.013561665,0.010932722,0.001990668,0.001577114
l3/trove-rcr-1,0.010565478,0.005335782,0.009459878,0.007990513,0.006550739,0.005203001
l1/trove-cr_sum-3,0.010549809,0.018942595,0.014216508,0.020989145,0.012890144,0.009972986
l3/1d-stencil,0.00970394,0.014343316,0.012326026,0.015790243,0.012163726,0.008312982
l3/trove-cr_sum-2,0.009403927,8.5366e-05,5.3379e-05,0.017887261,0.012282453,4.3582e-05
l1/trove-crc-3,0.009191307,0.01743543,0.014451059,0.018840759,0.009870208,0.008812063
l2/1d-stencil,0.008200743,0.009837979,0.008102801,0.011986103,0.008106667,0.007004895
l1/trove-cr_sum-2,0.007127489,8.0511e-05,5.5054e-05,0.013656938,0.009056404,4.3334e-05
l3/trove-crc-2,0.006698713,6.5434e-05,4.1988e-05,0.014760207,0.008647503,3.6551e-05
l1/1d-conv,0.00607842,0.008869224,0.008606267,0.009957371,0.008092131,0.005964751
l1/trove-crc-2,0.005245507,6.5774e-05,4.3848e-05,0.011108745,0.007258385,3.6003e-05
l1/trove-rcr-1,0.003217791,0.001697297,0.004615951,0.003725559,0.002325435,0.001756082
l1/mult-32-with-4,0.003175741,7.1012e-05,5.8328e-05,0.004019506,0.003314881,4.3269e-05
l1/1d-stencil,0.003088685,0.005209923,0.004333814,0.005294727,0.003870279,0.002955076
l3/mult-32-with-4,0.003083065,6.6255e-05,0.000140162,0.003945953,0.003720744,5.014e-05
l1/2d-stencil-3,0.002917559,0.000296519,0.003822959,0.002876651,0.000581741,0.000530003
l2/mult-32-with-4,0.002707528,0.000112476,4.4459e-05,0.00348528,0.003457106,3.8416e-05
l1/2d-stencil-7,0.000633458,0.000922768,0.000660259,0.000922298,0.000682291,0.000699596
l3/trove-cr_sum-1,0.000356711,0.000318162,0.000408993,0.000365784,0.000349919,0.000297047
l1/trove-cr_sum-1,0.000265595,0.000178923,0.000248582,0.00026547,0.000210731,0.00032622
l3/trove-crc-1,0.000116766,0.00015864,0.000160813,0.000202084,0.000121488,0.000108699
l1/trove-crc-1,0.000101351,9.5357e-05,0.000120712,0.000125319,8.2775e-05,6.1187e-05
