Problem,Level,Swizzleflow,Swizzle Inventor
1D stencil (k=3),R,0.29522712600000006,9.073
Convolution (k=3),R,0.255794362,6.753
2D stencil (k=3),R,0.025717992000000002,21.16
2D stencil (k=5),R,0.21245208599999998,65.945
2D stencil (k=7),R,2.411556865,634.5
"Trove (Sum, s=1)",R,0.000340934,0.28
"Trove (Sum, s=2)",R,0.151913449,0.714
"Trove (Sum, s=3)",R,0.285337941,2.04
"Trove (Sum, s=4)",R,1.0138466959999999,2.3
"Trove (Sum, s=5)",R,0.939583369,4.78
"Trove (Sum, s=7)",R,1.784827318,7.964
"Trove (CRC, s=1)",R,0.000227266,0.123
"Trove (CRC, s=2)",R,0.242366709,0.342
"Trove (CRC, s=3)",R,1.021265143,1.078
"Trove (CRC, s=4)",R,7.254366958,0.782
"Trove (CRC, s=5)",R,7.497925547000001,2.138
"Trove (CRC, s=7)",R,35.007696363,11.062
"Trove (RCR, s=1)",R,0.006921398,0.314
"Trove (RCR, s=2)",R,0.706652917,1.935
"Trove (RCR, s=3)",R,1.039874079,5.715
"Trove (RCR, s=4)",R,4.8009948410000005,6.21
"Trove (RCR, s=5)",R,10.414609067,10.757
"Trove (RCR, s=7)",R,31.310752606000005,20.087
1D stencil (k=3),FC,1.009860572,10.751
Convolution (k=3),FC,1.0234338309999997,11.641
2D stencil (k=3),FC,0.05428458800000001,45.934
2D stencil (k=5),FC,0.417416508,138.076
2D stencil (k=7),FC,62.842071972,851.822
1D stencil (k=3),F,1.3799345640000003,22.879
Convolution (k=3),F,0.28287382499999997,15.864
2D stencil (k=3),F,0.041699152999999996,51.497
2D stencil (k=5),F,0.286481987,577.11
2D stencil (k=7),F,1.969494418,
"Trove (Sum, s=1)",F,0.00045461,8.917
"Trove (Sum, s=2)",F,0.14823395299999997,15.199
"Trove (Sum, s=3)",F,0.335709129,23.979
"Trove (Sum, s=4)",F,1.2025694809999998,34.639
"Trove (Sum, s=5)",F,0.9785611299999999,49.717
"Trove (Sum, s=7)",F,1.968989584,66.065
"Trove (CRC, s=1)",F,0.000302254,3.974
"Trove (CRC, s=2)",F,0.25566691399999997,8.742
"Trove (CRC, s=3)",F,2.1108819220000004,17.039
"Trove (CRC, s=4)",F,8.706302074000002,20.663
"Trove (CRC, s=5)",F,8.096071532,120.18
"Trove (CRC, s=7)",F,39.527316446,143.733
"Trove (RCR, s=1)",F,0.013069893,9.618
"Trove (RCR, s=2)",F,2.640802583,1540.175
"Trove (RCR, s=3)",F,1.3014171680000004,
"Trove (RCR, s=4)",F,9.030550812,
"Trove (RCR, s=5)",F,12.143483969000002,
"Trove (RCR, s=7)",F,34.14928527,
